,path,newpath,space,graph_matrix,room_num,other_room_num,other_ratio,nodes
168,D:/Dataset/cubicasa5k//high_quality_architectural/3844/model.svg,3844,"['Outdoor0', 'Dining0', 'Kitchen0', 'Other0', 'Bath0', 'LivingRoom0', 'Bedroom0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",7,1,0.14285714285714285,"[60, 21, 36, 46, 1, 41, 11]"
1492,D:/Dataset/cubicasa5k//high_quality_architectural/11083/model.svg,11083,"['Outdoor0', 'Other0', 'LivingRoom0', 'Bedroom0', 'Bedroom1', 'Kitchen0', 'Other1', 'Other2', 'Other3', 'Storage0', 'Storage1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",11,4,0.36363636363636365,"[60, 46, 41, 11, 12, 36, 47, 52, 53, 70, 71]"
2712,D:/Dataset/cubicasa5k//high_quality/3858/model.svg,3858,"['Outdoor0', 'Entry0', 'Kitchen0', 'LivingRoom0', 'Bedroom0', 'Other0', 'Other1', 'Entry1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",8,2,0.25,"[60, 26, 36, 41, 11, 46, 47, 27]"
2774,D:/Dataset/cubicasa5k//high_quality/3735/model.svg,3735,"['Kitchen0', 'LivingRoom0', 'Entry0', 'Storage0', 'Garage0', 'Outdoor0', 'Outdoor1', 'Outdoor2', 'Outdoor3', 'Outdoor4', 'Bedroom0', 'Bedroom1', 'Storage1', 'Bedroom2', 'Bath0', 'Other0', 'Other1', 'Storage2', 'Other2']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",19,3,0.15789473684210525,"[36, 41, 26, 70, 31, 60, 61, 62, 63, 64, 11, 12, 71, 13, 1, 46, 47, 72, 52]"
3466,D:/Dataset/cubicasa5k//colorful/6082/model.svg,6082,"['Outdoor0', 'LivingRoom0', 'Entry0', 'Other0', 'Bedroom0', 'Bedroom1', 'Kitchen0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",7,1,0.14285714285714285,"[60, 41, 26, 46, 11, 12, 36]"
493,D:/Dataset/cubicasa5k//high_quality_architectural/1364/model.svg,1364,"['Outdoor0', 'Bath0', 'LivingRoom0', 'Other0', 'Other1', 'Kitchen0', 'Storage0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",7,2,0.2857142857142857,"[60, 1, 41, 46, 47, 36, 70]"
1554,D:/Dataset/cubicasa5k//high_quality_architectural/11284/model.svg,11284,"['LivingRoom0', 'Storage0', 'Bath0', 'Entry0', 'Other0', 'Bath1', 'Bedroom0', 'Bedroom1', 'Outdoor0', 'Kitchen0', 'Outdoor1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 2. ... 0. 0. 0.]
 [0. 1. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",11,1,0.09090909090909091,"[41, 70, 1, 26, 46, 2, 11, 12, 60, 36, 61]"
1058,D:/Dataset/cubicasa5k//high_quality_architectural/1111/model.svg,1111,"['Kitchen0', 'Entry0', 'LivingRoom0', 'Outdoor0', 'Outdoor1', 'Outdoor2', 'Other0', 'Bedroom0', 'Bedroom1', 'Bedroom2', 'Storage0', 'Bath0', 'Other1', 'Bath1', 'Entry1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",15,2,0.13333333333333333,"[36, 26, 41, 60, 61, 62, 46, 11, 12, 13, 70, 1, 47, 2, 27]"
298,D:/Dataset/cubicasa5k//high_quality_architectural/5751/model.svg,5751,"['Outdoor0', 'Bath0', 'Kitchen0', 'Entry0', 'Bedroom0', 'LivingRoom0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",6,0,0.0,"[60, 1, 36, 26, 11, 41]"
929,D:/Dataset/cubicasa5k//high_quality_architectural/5810/model.svg,5810,"['Kitchen0', 'Other0', 'Outdoor0', 'Other1', 'Storage0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",5,2,0.4,"[36, 46, 60, 47, 70]"
1588,D:/Dataset/cubicasa5k//high_quality_architectural/11407/model.svg,11407,"['Outdoor0', 'Dining0', 'Kitchen0', 'LivingRoom0', 'Entry0', 'Other0', 'Bedroom0', 'Bedroom1', 'Bedroom2', 'Storage0', 'Bath0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",11,1,0.09090909090909091,"[60, 21, 36, 41, 26, 46, 11, 12, 13, 70, 1]"
1372,D:/Dataset/cubicasa5k//high_quality_architectural/10605/model.svg,10605,"['Bath0', 'Other0', 'Storage0', 'Other1', 'Outdoor0', 'Bedroom0', 'Other2', 'Bedroom1', 'LivingRoom0', 'Dining0', 'Kitchen0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",11,3,0.2727272727272727,"[1, 46, 70, 47, 60, 11, 52, 12, 41, 21, 36]"
1898,D:/Dataset/cubicasa5k//high_quality_architectural/12575/model.svg,12575,"['Outdoor0', 'Kitchen0', 'Entry0', 'LivingRoom0', 'Other0', 'Bedroom0', 'Bath0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",7,1,0.14285714285714285,"[60, 36, 26, 41, 46, 11, 1]"
2377,D:/Dataset/cubicasa5k//high_quality_architectural/14477/model.svg,14477,"['Storage0', 'Outdoor0', 'Other0', 'Kitchen0', 'LivingRoom0', 'Bedroom0', 'Bath0', 'Entry0', 'Other1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",9,2,0.2222222222222222,"[70, 60, 46, 36, 41, 11, 1, 26, 47]"
2478,D:/Dataset/cubicasa5k//high_quality_architectural/14945/model.svg,14945,"['Other0', 'Other1', 'Dining0', 'Other2', 'Outdoor0', 'Outdoor1', 'Other3', 'Other4', 'Other5', 'Bath0', 'Storage0', 'Other6', 'Storage1', 'Bath1', 'Entry0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",15,7,0.4666666666666667,"[46, 47, 21, 52, 60, 61, 53, 54, 55, 1, 70, 56, 71, 2, 26]"
1708,D:/Dataset/cubicasa5k//high_quality_architectural/11816/model.svg,11816,"['Outdoor0', 'LivingRoom0', 'Other0', 'Bedroom0', 'Kitchen0', 'Other1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",6,2,0.3333333333333333,"[60, 41, 46, 11, 36, 47]"
3205,D:/Dataset/cubicasa5k//high_quality/13708/model.svg,13708,"['Outdoor0', 'LivingRoom0', 'Entry0', 'LivingRoom1', 'Kitchen0', 'Other0', 'Bath0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",7,1,0.14285714285714285,"[60, 41, 26, 42, 36, 46, 1]"
2729,D:/Dataset/cubicasa5k//high_quality/395/model.svg,395,"['Other0', 'Storage0', 'Bath0', 'Kitchen0', 'Entry0', 'LivingRoom0', 'Other1', 'Other2', 'Outdoor0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",9,3,0.3333333333333333,"[46, 70, 1, 36, 26, 41, 47, 52, 60]"
1874,D:/Dataset/cubicasa5k//high_quality_architectural/12504/model.svg,12504,"['Outdoor0', 'LivingRoom0', 'Entry0', 'Bedroom0', 'Bedroom1', 'Other0', 'Other1', 'Bath0', 'Other2']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",9,3,0.3333333333333333,"[60, 41, 26, 11, 12, 46, 47, 1, 52]"
2627,D:/Dataset/cubicasa5k//colorful/11194/model.svg,11194,"['Other0', 'Outdoor0', 'Outdoor1', 'Kitchen0', 'Entry0', 'Other1', 'Bedroom0', 'Bedroom1', 'Other2', 'Bath0', 'Other3', 'Storage0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",12,4,0.3333333333333333,"[46, 60, 61, 36, 26, 47, 11, 12, 52, 1, 53, 70]"
2204,D:/Dataset/cubicasa5k//high_quality_architectural/13704/model.svg,13704,"['LivingRoom0', 'Entry0', 'Kitchen0', 'Outdoor0', 'Bath0', 'Storage0', 'Outdoor1', 'Outdoor2', 'Bedroom0', 'Bedroom1', 'Bedroom2', 'Storage1', 'Other0', 'Bath1', 'Other1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",15,2,0.13333333333333333,"[41, 26, 36, 60, 1, 70, 61, 62, 11, 12, 13, 71, 46, 2, 47]"
3236,D:/Dataset/cubicasa5k//high_quality/14679/model.svg,14679,"['Outdoor0', 'Bedroom0', 'LivingRoom0', 'Entry0', 'Other0', 'Kitchen0', 'Bedroom1', 'Bath0', 'Storage0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",9,1,0.1111111111111111,"[60, 11, 41, 26, 46, 36, 12, 1, 70]"
3530,D:/Dataset/cubicasa5k//high_quality/9619/model.svg,9619,"['LivingRoom0', 'Entry0', 'Other0', 'Kitchen0', 'Storage0', 'Bath0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",6,1,0.16666666666666666,"[41, 26, 46, 36, 70, 1]"
1562,D:/Dataset/cubicasa5k//high_quality_architectural/11309/model.svg,11309,"['Outdoor0', 'Outdoor1', 'LivingRoom0', 'Kitchen0', 'Entry0', 'Other0', 'Bath0', 'Entry1', 'Bath1', 'Bath2', 'Other1', 'Other2', 'Storage0', 'Other3']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",14,4,0.2857142857142857,"[60, 61, 41, 36, 26, 46, 1, 27, 2, 3, 47, 52, 70, 53]"
1282,D:/Dataset/cubicasa5k//high_quality_architectural/10304/model.svg,10304,"['Entry0', 'LivingRoom0', 'Other0', 'Outdoor0', 'Other1', 'Other2', 'Kitchen0', 'Bath0', 'Other3', 'Storage0', 'Bath1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",11,4,0.36363636363636365,"[26, 41, 46, 60, 47, 52, 36, 1, 53, 70, 2]"
391,D:/Dataset/cubicasa5k//high_quality_architectural/5002/model.svg,5002,"['Kitchen0', 'Dining0', 'Other0', 'Entry0', 'LivingRoom0', 'Bedroom0', 'Bath0', 'Outdoor0', 'Bedroom1', 'Bedroom2', 'Bedroom3', 'Storage0', 'Kitchen1', 'Entry1', 'Other1', 'Storage1', 'Bath1', 'Bath2', 'Other2']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",19,3,0.15789473684210525,"[36, 21, 46, 26, 41, 11, 1, 60, 12, 13, 14, 70, 37, 27, 47, 71, 2, 3, 52]"
2089,D:/Dataset/cubicasa5k//high_quality_architectural/13284/model.svg,13284,"['Outdoor0', 'Outdoor1', 'Entry0', 'Kitchen0', 'LivingRoom0', 'Bedroom0', 'Other0', 'Other1', 'Entry1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",9,2,0.2222222222222222,"[60, 61, 26, 36, 41, 11, 46, 47, 27]"
2506,D:/Dataset/cubicasa5k//high_quality_architectural/20092/model.svg,20092,"['Outdoor0', 'LivingRoom0', 'Bedroom0', 'Other0', 'Kitchen0', 'Bath0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",6,1,0.16666666666666666,"[60, 41, 11, 46, 36, 1]"
1749,D:/Dataset/cubicasa5k//high_quality_architectural/11950/model.svg,11950,"['Entry0', 'Kitchen0', 'LivingRoom0', 'Outdoor0', 'Outdoor1', 'Other0', 'Bedroom0', 'Bedroom1', 'Bedroom2', 'Bath0', 'Bath1', 'Bath2', 'Storage0', 'Storage1', 'Entry1', 'Other1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 4. ... 0. 0. 0.]
 [0. 3. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",16,2,0.125,"[26, 36, 41, 60, 61, 46, 11, 12, 13, 1, 2, 3, 70, 71, 27, 47]"
1132,D:/Dataset/cubicasa5k//high_quality_architectural/9135/model.svg,9135,"['Outdoor0', 'Outdoor1', 'Entry0', 'Storage0', 'LivingRoom0', 'Other0', 'Kitchen0', 'Bedroom0', 'Bedroom1', 'LivingRoom1', 'Bath0', 'Bath1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",12,1,0.08333333333333333,"[60, 61, 26, 70, 41, 46, 36, 11, 12, 42, 1, 2]"
2217,D:/Dataset/cubicasa5k//high_quality_architectural/13738/model.svg,13738,"['Kitchen0', 'Entry0', 'LivingRoom0', 'Outdoor0', 'Outdoor1', 'Bedroom0', 'Storage0', 'Other0', 'Storage1', 'Other1', 'Bath0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",11,2,0.18181818181818182,"[36, 26, 41, 60, 61, 11, 70, 46, 71, 47, 1]"
3375,D:/Dataset/cubicasa5k//high_quality_architectural/9491/model.svg,9491,"['Bedroom0', 'Bath0', 'Outdoor0', 'Outdoor1', 'Entry0', 'LivingRoom0', 'Other0', 'Bedroom1', 'Bedroom2', 'Other1', 'Storage0', 'Bath1', 'Other2', 'Entry1', 'Storage1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",15,3,0.2,"[11, 1, 60, 61, 26, 41, 46, 12, 13, 47, 70, 2, 52, 27, 71]"
543,D:/Dataset/cubicasa5k//high_quality_architectural/9493/model.svg,9493,"['LivingRoom0', 'Entry0', 'Kitchen0', 'Other0', 'Garage0', 'Bedroom0', 'Outdoor0', 'Bedroom1', 'Bedroom2', 'Bedroom3', 'Storage0', 'Storage1', 'Other1', 'Bath0', 'Bath1', 'Bath2']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 1. ... 0. 0. 0.]
 [0. 2. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",16,2,0.125,"[41, 26, 36, 46, 31, 11, 60, 12, 13, 14, 70, 71, 47, 1, 2, 3]"
3053,D:/Dataset/cubicasa5k//high_quality/11221/model.svg,11221,"['Outdoor0', 'LivingRoom0', 'Bedroom0', 'Kitchen0', 'Entry0', 'Other0', 'Storage0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",7,1,0.14285714285714285,"[60, 41, 11, 36, 26, 46, 70]"
2322,D:/Dataset/cubicasa5k//high_quality_architectural/14272/model.svg,14272,"['Other0', 'Entry0', 'Kitchen0', 'LivingRoom0', 'Bedroom0', 'Bath0', 'Other1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",7,2,0.2857142857142857,"[46, 26, 36, 41, 11, 1, 47]"
