,path,newpath,space,graph_matrix,room_num,other_room_num,other_ratio
11,D:/Dataset/cubicasa5k//high_quality_architectural/8406/model.svg,8406,"['Outdoor0', 'Outdoor1', 'Storage0', 'Other0', 'Entry0', 'LivingRoom0', 'Bedroom0', 'Bedroom1', 'Bedroom2', 'Other1', 'Other2', 'Bath0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",12,3,0.25
12,D:/Dataset/cubicasa5k//high_quality_architectural/693/model.svg,693,"['Outdoor0', 'Kitchen0', 'LivingRoom0', 'Bedroom0', 'Bath0', 'Other0', 'Storage0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",7,1,0.14285714285714285
13,D:/Dataset/cubicasa5k//high_quality_architectural/449/model.svg,449,"['Outdoor0', 'Bedroom0', 'Other0', 'Bedroom1', 'Entry0', 'Other1', 'LivingRoom0', 'Outdoor1', 'Kitchen0', 'Bedroom2', 'Bath0', 'Storage0', 'Bath1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",13,2,0.15384615384615385
14,D:/Dataset/cubicasa5k//high_quality_architectural/8714/model.svg,8714,"['Outdoor0', 'Other0', 'Outdoor1', 'Dining0', 'LivingRoom0', 'Kitchen0', 'Bedroom0', 'Bedroom1', 'Bedroom2', 'Bedroom3', 'Entry0', 'Other1', 'Bath0', 'Other2', 'Bath1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",15,3,0.2
15,D:/Dataset/cubicasa5k//high_quality_architectural/5658/model.svg,5658,"['Other0', 'Bedroom0', 'LivingRoom0', 'Kitchen0', 'Other1', 'Outdoor0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",6,2,0.3333333333333333
16,D:/Dataset/cubicasa5k//high_quality_architectural/2015/model.svg,2015,"['Outdoor0', 'Other0', 'Bedroom0', 'LivingRoom0', 'Kitchen0', 'Bath0', 'Storage0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",7,1,0.14285714285714285
17,D:/Dataset/cubicasa5k//high_quality_architectural/8650/model.svg,8650,"['Entry0', 'Outdoor0', 'Kitchen0', 'LivingRoom0', 'Garage0', 'Bedroom0', 'Bedroom1', 'Storage0', 'Bedroom2', 'Storage1', 'Bedroom3', 'Bath0', 'Other0', 'Entry1', 'Bath1', 'Storage2']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",16,1,0.0625
18,D:/Dataset/cubicasa5k//high_quality_architectural/1455/model.svg,1455,"['Outdoor0', 'Bedroom0', 'Entry0', 'Kitchen0', 'LivingRoom0', 'Bedroom1', 'Outdoor1', 'Bath0', 'Storage0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",9,0,0.0
19,D:/Dataset/cubicasa5k//high_quality_architectural/5628/model.svg,5628,"['Outdoor0', 'Outdoor1', 'LivingRoom0', 'Dining0', 'Entry0', 'Kitchen0', 'Other0', 'Other1', 'Other2', 'Storage0', 'Other3']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",11,4,0.36363636363636365
21,D:/Dataset/cubicasa5k//high_quality_architectural/816/model.svg,816,"['Kitchen0', 'Other0', 'Entry0', 'Outdoor0', 'Outdoor1', 'Other1', 'Other2', 'Bath0', 'Entry1', 'Bath1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 8. ... 0. 0. 0.]
 [0. 5. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",10,3,0.3
22,D:/Dataset/cubicasa5k//high_quality_architectural/7072/model.svg,7072,"['Outdoor0', 'Outdoor1', 'Outdoor2', 'Entry0', 'LivingRoom0', 'Other0', 'Garage0', 'Other1', 'Other2', 'Storage0', 'Other3', 'Bath0', 'Storage1', 'Other4', 'Storage2', 'Entry1', 'Bath1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",17,5,0.29411764705882354
23,D:/Dataset/cubicasa5k//high_quality_architectural/9946/model.svg,9946,"['Outdoor0', 'Entry0', 'Entry1', 'Kitchen0', 'LivingRoom0', 'Storage0', 'Bath0', 'Other0', 'Storage1', 'Bedroom0', 'Garage0', 'Bedroom1', 'Storage2', 'Other1', 'Storage3', 'Bath1', 'Garage1', 'Outdoor1', 'Outdoor2']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",19,2,0.10526315789473684
24,D:/Dataset/cubicasa5k//high_quality_architectural/7885/model.svg,7885,"['Outdoor0', 'Outdoor1', 'Outdoor2', 'Kitchen0', 'Entry0', 'LivingRoom0', 'Garage0', 'Bedroom0', 'Bedroom1', 'Storage0', 'Bedroom2', 'Bath0', 'Storage1', 'Other0', 'Entry1', 'Bath1', 'Storage2']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",17,1,0.058823529411764705
25,D:/Dataset/cubicasa5k//high_quality_architectural/8121/model.svg,8121,"['Outdoor0', 'Outdoor1', 'Other0', 'LivingRoom0', 'Entry0', 'Bedroom0', 'Bath0', 'Other1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",8,2,0.25
26,D:/Dataset/cubicasa5k//high_quality_architectural/8422/model.svg,8422,"['Outdoor0', 'Entry0', 'Bedroom0', 'LivingRoom0', 'Outdoor1', 'Other0', 'Other1', 'Bath0', 'Entry1', 'Entry2', 'LivingRoom1', 'Outdoor2', 'Kitchen0', 'Bedroom1', 'Bedroom2', 'Bedroom3', 'Entry3', 'Kitchen1', 'Other2', 'Other3', 'Other4', 'Storage0', 'Bath1', 'Entry4', 'Bath2']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",25,5,0.2
27,D:/Dataset/cubicasa5k//high_quality_architectural/935/model.svg,935,"['Entry0', 'Other0', 'Storage0', 'Bath0', 'Other1', 'Outdoor0', 'Other2', 'Kitchen0', 'Outdoor1', 'Entry1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",10,3,0.3
28,D:/Dataset/cubicasa5k//high_quality_architectural/7748/model.svg,7748,"['Outdoor0', 'Entry0', 'Kitchen0', 'LivingRoom0', 'Bedroom0', 'Other0', 'Other1', 'Other2', 'Bath0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",9,3,0.3333333333333333
29,D:/Dataset/cubicasa5k//high_quality_architectural/8184/model.svg,8184,"['Outdoor0', 'LivingRoom0', 'Kitchen0', 'Entry0', 'Bath0', 'Storage0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",6,0,0.0
30,D:/Dataset/cubicasa5k//high_quality_architectural/8368/model.svg,8368,"['Outdoor0', 'Other0', 'Kitchen0', 'LivingRoom0', 'Bedroom0', 'Bedroom1', 'Other1', 'Bedroom2', 'Bedroom3', 'Bedroom4', 'Entry0', 'Storage0', 'Storage1', 'Other2', 'Bath0', 'Bath1', 'Entry1', 'Bath2']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",18,3,0.16666666666666666
31,D:/Dataset/cubicasa5k//high_quality_architectural/1834/model.svg,1834,"['LivingRoom0', 'Entry0', 'Storage0', 'Outdoor0', 'Bedroom0', 'Bath0', 'Bedroom1', 'LivingRoom1', 'Kitchen0', 'Other0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",10,1,0.1
32,D:/Dataset/cubicasa5k//high_quality_architectural/6588/model.svg,6588,"['Outdoor0', 'LivingRoom0', 'Kitchen0', 'Garage0', 'Outdoor1', 'Entry0', 'Other0', 'Bedroom0', 'Bedroom1', 'Bedroom2', 'Bath0', 'Storage0', 'Storage1', 'Other1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",14,2,0.14285714285714285
33,D:/Dataset/cubicasa5k//high_quality_architectural/451/model.svg,451,"['Outdoor0', 'Outdoor1', 'Entry0', 'Kitchen0', 'LivingRoom0', 'Bath0', 'Bedroom0', 'Other0', 'Other1', 'Storage0', 'Bath1', 'Other2', 'Entry1', 'Bath2', 'Storage1', 'Storage2', 'Storage3']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",17,3,0.17647058823529413
34,D:/Dataset/cubicasa5k//high_quality_architectural/2142/model.svg,2142,"['Outdoor0', 'Kitchen0', 'Entry0', 'LivingRoom0', 'Bedroom0', 'Bath0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",6,0,0.0
36,D:/Dataset/cubicasa5k//high_quality_architectural/1199/model.svg,1199,"['Storage0', 'Bedroom0', 'Bedroom1', 'LivingRoom0', 'Entry0', 'Kitchen0', 'Outdoor0', 'Outdoor1', 'Outdoor2', 'Outdoor3', 'Bedroom2', 'Bedroom3', 'Storage1', 'Bath0', 'Other0', 'Entry1', 'Bath1', 'Storage2']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",18,1,0.05555555555555555
37,D:/Dataset/cubicasa5k//high_quality_architectural/959/model.svg,959,"['Kitchen0', 'LivingRoom0', 'Bedroom0', 'Bath0', 'Storage0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",5,0,0.0
38,D:/Dataset/cubicasa5k//high_quality_architectural/784/model.svg,784,"['Other0', 'Other1', 'Entry0', 'Other2', 'Bath0', 'Storage0', 'Bedroom0', 'Bedroom1', 'Garage0', 'Garage1', 'Storage1', 'Storage2', 'Bath1', 'Kitchen0', 'Outdoor0', 'LivingRoom0', 'Entry1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",17,3,0.17647058823529413
39,D:/Dataset/cubicasa5k//high_quality_architectural/3937/model.svg,3937,"['Other0', 'Kitchen0', 'Bedroom0', 'Outdoor0', 'Kitchen1', 'Other1', 'Other2']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",7,3,0.42857142857142855
40,D:/Dataset/cubicasa5k//high_quality_architectural/9229/model.svg,9229,"['Outdoor0', 'LivingRoom0', 'Kitchen0', 'Entry0', 'Other0', 'Bedroom0', 'Storage0', 'Bath0', 'Outdoor1', 'Bedroom1', 'Bedroom2', 'Bedroom3', 'Storage1', 'Entry1', 'Bath1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",15,1,0.06666666666666667
41,D:/Dataset/cubicasa5k//high_quality_architectural/898/model.svg,898,"['Garage0', 'Outdoor0', 'Entry0', 'LivingRoom0', 'Kitchen0', 'Storage0', 'Storage1', 'Bedroom0', 'Bedroom1', 'Bedroom2', 'Bath0', 'Storage2', 'Other0', 'Other1', 'Entry1', 'Storage3', 'Other2', 'Entry2', 'Bath1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",19,3,0.15789473684210525
42,D:/Dataset/cubicasa5k//high_quality_architectural/3718/model.svg,3718,"['Outdoor0', 'LivingRoom0', 'Bedroom0', 'Outdoor1', 'Other0', 'Entry0', 'Kitchen0', 'Bedroom1', 'Bath0', 'Bedroom2', 'Bedroom3', 'Bedroom4', 'Storage0', 'Storage1', 'Storage2', 'Other1', 'Entry1', 'Bath1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",18,2,0.1111111111111111
43,D:/Dataset/cubicasa5k//high_quality_architectural/9705/model.svg,9705,"['Entry0', 'Kitchen0', 'LivingRoom0', 'Outdoor0', 'Bedroom0', 'Bath0', 'Other0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",7,1,0.14285714285714285
44,D:/Dataset/cubicasa5k//high_quality_architectural/5785/model.svg,5785,"['Entry0', 'Bath0', 'Bath1', 'Other0', 'Bedroom0', 'Bedroom1', 'Other1', 'Other2', 'Outdoor0', 'Outdoor1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",10,3,0.3
45,D:/Dataset/cubicasa5k//high_quality_architectural/1860/model.svg,1860,"['Outdoor0', 'Other0', 'Other1', 'Storage0', 'Bath0', 'Bath1', 'Entry0', 'Bath2', 'Storage1', 'Storage2', 'Storage3', 'Storage4', 'Bedroom0', 'Bedroom1', 'Other2', 'Bedroom2', 'Entry1', 'LivingRoom0', 'Outdoor1', 'Outdoor2', 'Other3', 'Kitchen0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",22,4,0.18181818181818182
46,D:/Dataset/cubicasa5k//high_quality_architectural/6626/model.svg,6626,"['Outdoor0', 'Other0', 'Bedroom0', 'Bedroom1', 'Entry0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",5,1,0.2
47,D:/Dataset/cubicasa5k//high_quality_architectural/8091/model.svg,8091,"['Outdoor0', 'Other0', 'Kitchen0', 'Bedroom0', 'Other1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",5,2,0.4
49,D:/Dataset/cubicasa5k//high_quality_architectural/8155/model.svg,8155,"['Outdoor0', 'Bath0', 'Bath1', 'Kitchen0', 'LivingRoom0', 'Other0', 'Entry0', 'Garage0', 'Outdoor1', 'Outdoor2', 'Garage1', 'Bedroom0', 'Bedroom1', 'Bedroom2', 'Bedroom3', 'Storage0', 'Other1', 'Entry1', 'Storage1', 'Bath2', 'Storage2']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 3. ... 0. 0. 0.]
 [0. 4. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",21,2,0.09523809523809523
50,D:/Dataset/cubicasa5k//high_quality_architectural/8734/model.svg,8734,"['Entry0', 'Kitchen0', 'LivingRoom0', 'Kitchen1', 'Entry1', 'Storage0', 'Bedroom0', 'Outdoor0', 'Outdoor1', 'Outdoor2', 'Other0', 'Bedroom1', 'Bath0', 'Other1', 'Bath1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",15,2,0.13333333333333333
